,community
1394,13
1395,13
1396,13
1397,13
1398,13
1399,4
1400,4
1401,4
1402,4
1403,4
1404,4
1405,4
1406,4
1407,4
1408,24
1409,24
1410,24
1411,24
1412,24
1413,24
1414,24
1415,24
1416,4
1417,4
1418,5
1419,4
1420,4
1421,0
1422,0
1423,0
1424,0
1425,3
1426,3
1427,3
1428,3
1429,3
1430,4
1431,4
1432,4
1433,4
1434,4
1435,24
1436,24
1437,24
1438,24
1439,24
1440,24
1441,11
1442,11
1443,11
1444,12
1445,12
1446,12
1447,12
1448,12
1449,12
1450,0
1451,0
1452,5
1453,5
1454,9
1455,9
1456,9
1457,9
1458,5
1459,5
1460,4
1461,5
1462,5
1463,6
1464,16
1465,16
1466,16
1467,16
1468,16
1469,8
1470,8
1471,2
1472,24
1473,24
1474,24
1475,24
1476,24
1477,24
1478,24
1479,18
1480,18
1481,18
1482,18
1483,9
1484,15
1485,15
1486,15
1487,15
1488,15
1489,9
1490,9
1491,9
1492,9
1493,5
1494,5
1495,13
1496,13
1497,1
1498,13
1499,13
1500,21
1501,21
1502,21
1503,21
1504,24
1505,21
1506,24
1507,24
1508,21
1509,21
1510,24
1511,21
1512,13
1513,13
1514,13
1515,13
1516,13
1517,21
1518,21
1519,13
1520,13
1521,13
1522,13
1523,13
1524,13
1525,13
1526,0
1527,0
1528,0
1529,0
1530,3
1531,3
1532,3
1533,3
1534,3
1535,3
1536,3
1537,3
1538,22
1539,22
1540,22
1541,24
1542,24
1543,24
1544,24
1545,24
1546,24
1547,24
1548,24
1549,14
1550,14
1551,14
1552,15
1553,15
1554,15
1555,15
1556,15
1557,15
1558,2
1559,2
1560,2
1561,2
1562,2
1563,13
1564,13
1565,13
1566,13
1567,15
1568,16
1569,16
1570,16
1571,16
1572,21
1573,21
1574,21
1575,21
1576,21
1577,21
1578,21
1579,9
1580,9
1581,9
1582,9
1583,9
1584,9
1585,10
1586,10
1587,10
1588,10
1589,10
1590,10
1591,10
1592,10
1593,10
1594,10
1595,10
1596,10
1597,10
1598,10
1599,10
1600,10
1601,10
1602,10
1603,21
1604,13
1605,13
1606,13
1607,0
1608,0
1609,5
1610,0
1611,0
1612,0
1613,13
1614,20
1615,13
1616,20
1617,5
1618,5
1619,15
1620,0
1621,0
1622,0
1623,0
1624,10
1625,10
1626,10
1627,10
1628,10
1629,10
1630,10
1631,10
1632,4
1633,4
1634,4
1635,4
1636,4
1637,4
1638,4
1639,4
1640,4
1641,4
1642,2
1643,2
1644,2
1645,2
1646,2
1647,2
1648,2
1649,2
1650,2
1651,2
1652,2
1653,2
1654,23
1655,23
1656,23
1657,23
1658,23
1659,23
1660,23
1661,23
1662,23
1663,7
1664,7
1665,7
1666,7
1667,7
1668,7
1669,7
1670,7
1671,9
1672,9
1673,9
1674,9
1675,17
1676,17
1677,11
1678,11
1679,11
1680,11
1681,4
1682,5
1683,5
1684,5
1685,5
1686,5
1687,7
1688,13
1689,23
1690,23
1691,23
1692,11
1693,11
1694,11
1695,11
1696,11
1697,11
1698,21
1699,21
1700,21
1701,21
1702,1
1703,22
1704,22
1705,22
1706,22
1707,22
1708,22
1709,22
1710,22
1711,22
1712,13
1713,13
1714,13
1715,13
1716,13
1717,24
1718,24
1719,24
1720,24
1721,24
1722,24
1723,24
1724,24
1725,24
1726,24
1727,24
1728,24
1729,24
1730,24
1731,24
1732,24
1733,24
1734,24
1735,24
1736,21
1737,21
1738,21
1739,21
1740,24
1741,9
1742,21
1743,21
1744,21
1745,1
1746,1
1747,1
1748,1
1749,9
1750,9
1751,9
1752,21
1753,21
1754,21
1755,21
1756,21
1757,21
1758,21
1759,21
1760,21
1761,22
1762,22
1763,22
1764,7
1765,7
1766,7
1767,7
1768,7
1769,7
1770,7
1771,7
1772,7
1773,23
1774,23
1775,23
1776,4
1777,25
1778,25
1779,25
1780,25
1781,25
1782,25
1783,16
1784,16
1785,16
1786,16
1787,16
1788,4
1789,4
1790,4
1791,4
1792,4
1793,4
1794,4
1795,24
1796,24
1797,24
1798,24
1799,24
1800,24
1801,21
1802,24
1803,24
1804,7
1805,7
1806,7
1807,7
1808,7
1809,7
1810,7
1811,7
1812,7
1813,9
1814,9
1815,9
1816,9
1817,17
1818,17
1819,17
1820,17
1821,8
1822,6
1823,6
1824,6
1825,6
1826,6
1827,6
1828,6
1829,6
1830,6
